Document ID,DOC-001
Document Name,Security Policy.pdf
Document Type,policy
Overall Status,ValidationStatus.PARTIAL
Confidence,0.92
Mode,static
Timestamp,2025-05-06T09:01:41.345404

Category,Status,Confidence,Item ID,Item Name,Item Status,Item Confidence,Justification
Access Control,ValidationStatus.PARTIAL,0.90,ACC001,Password Policy,ValidationStatus.PASSED,0.95,Password policy meets all requirements with secure settings
,,,ACC002,Two-Factor Authentication,ValidationStatus.FAILED,0.90,Two-factor authentication is not implemented for all systems
,,,ACC003,Account Lockout,ValidationStatus.PARTIAL,0.85,Account lockout implemented but threshold too high (10 attempts)

Data Protection,ValidationStatus.PASSED,0.89,DAT001,Data Encryption at Rest,ValidationStatus.PASSED,0.92,All sensitive data is encrypted at rest with AES-256
,,,DAT002,Data Encryption in Transit,ValidationStatus.PASSED,0.95,All data in transit is encrypted with TLS 1.2+
,,,DAT003,Data Retention Policy,ValidationStatus.PARTIAL,0.80,Data retention policy exists but lacks specific timeframes

Incident Response,ValidationStatus.FAILED,0.82,INC001,Incident Response Plan,ValidationStatus.PARTIAL,0.75,Basic incident response plan exists but lacks detailed procedures
,,,INC002,Security Event Monitoring,ValidationStatus.FAILED,0.88,No centralized security event monitoring system in place
